review_id,text_raw,human_label,human_confidence,reviewer_comment,reviewed_by_student
FINBERT-046,"Shares of several industrials companies are trading lower with the overall market as coronavirus cases increase in some US states that have reopened, leading to concerns of a second wave of the virus.",negative,high,,
FINBERT-047,Forget Royal Dutch Shell -- Here Are 2 Better Dividend Stocks,negative,low,"negative to RDS, but postive to the 2 better stock",
FINBERT-048,"Notable Friday Option Activity: HUBS, OXY, SAGE",neutral,high,,
FINBERT-049,US FDA approves Astellas' combination therapy for bladder cancer,positive,high,,
FINBERT-050,"Disney's 2021 Earnings Will Still Be Weak, One Bear Says",negative,high,,
FINBERT-051,"Major AI Updates This Past Week From Tesla, AMD, ASML, TSMC, Microsoft, and Others",neutral,high,,
FINBERT-052,MRVL Stock Alert: 14 Reasons Why Marvell Technology Investors Are Feeling Marvelous Today,positive,high,,
FINBERT-053,First Week of EA February 19th Options Trading,neutral,high,,
FINBERT-054,Tuesday's Market Minute: Earnings Season 2020,neutral,high,,
FINBERT-055,Thursday's ETF with Unusual Volume: IEZ,neutral,high,,
FINBERT-056,"The Zacks Analyst Blog Highlights United Parcel Service, and FedEx",neutral,high,,
FINBERT-057,2 Bargain Tech Stocks to Buy Now,positive,high,,
FINBERT-058,AMD Shares Down 2%; MarketWatch Opinion Piece From Futurum Research's Daniel Newman 'Why AMD's best days are behind it',negative,high,,
FINBERT-059,"Netflix Stock: Next Stop, $740?",neutral,medium,,
FINBERT-060,"Notable Tuesday Option Activity: NKE, BAC, ORCL",neutral,high,,
FINBERT-061,Supply Chain Woes Should Not Impact NIKE's (NYSE:NKE) Dividend,positive,high,,
FINBERT-062,"If You Invested $1000 in Adobe Systems a Decade Ago, This is How Much It'd Be Worth Now",positive,high,,
FINBERT-063,"CCI, CCI-PA DEADLINE NOTICE: ROSEN, A TOP LAW FIRM, Reminds Crown Castle International Corp. ...",negative,high,,
FINBERT-064,2 Financial Stocks I'd Buy Right Now,positive,high,,
FINBERT-065,"GLOBAL MARKETS-World shares mixed amid hopes for business pickup, oil slips",neutral,high,,
FINBERT-066,"Shares of several basic materials companies are trading higher. The Federal Reserve on Monday Morning announced new stimulus measures, which has moved stocks higher. Basic materials demand outlook has been pressured by global economic disruption.",positive,high,,
FINBERT-067,Worried A Stock Market Crash Is Coming? 3 No-Brainer Dividend Stocks You Don't Need to Wait to Buy,positive,medium,"the worry crash imply the market worry,but not obevious",
FINBERT-068,Traders Hit the Gas Pedal on Oil Stocks as OPEC+ Convenes,positive,high,,
FINBERT-069,A Recession Won't Slow Down This Dynamic Dividend Stock,positive,high,,
FINBERT-070,Forget What You've Heard: This REIT Isn't Seeing Any Slowdown,positive,high,,
FINBERT-071,Dominion Energy Donates $–.6 Million to Nonprofit Partners Meeting Critical Community Needs,positive,high,,
FINBERT-072,Nike shareholders push for more reporting on pay equity,neutral,medium,,
FINBERT-073,Will Disney Bring Back Its Dividend Back Next Week?,neutral,high,,
FINBERT-074,Goldman Sachs highlights diversity in new managing director class,neutral,low,"Financial irrelavant, but not sure its influence to ESG ",
FINBERT-075,3 Reasons I Am Excited About Starbucks Stock,positive,high,,
FINBERT-076,Is Realty Income's (O) Latest Dividend Hike Sustainable?,neutral,high,,
FINBERT-077,"Dow Snags Record Close, Indexes Nab Weekly Wins",positive,high,,
FINBERT-078,Looking for the Largest REITs? Start With This One,positive,high,,
FINBERT-079,Coronavirus: Health Experts Say That Crowded Events Need to Stay Closed Until the Fall of 2021,negative,high,,
FINBERT-080,Abbott (ABT) Advances But Underperforms Market: Key Facts,positive,high,,
FINBERT-081,3 AI Stocks That Are Revolutionizing Manufacturing,positive,medium,,
FINBERT-082,"Crown Castle's (CCI) Q1 AFFO Lags Estimates, Revenues Up Y/Y",neutral,high,,
FINBERT-083,Disney's (DIS) Latest Indiana Jones Movie Hits the Right Chord,positive,high,,
FINBERT-084,"After Hours Most Active for Nov 15, 2022 : CCL, SHY, BAC, INTC, ATUS, AAPL, EMB, EGHT, LUMN, EW, WFC, AMZN",neutral,high,,
FINBERT-085,"Noteworthy Thursday Option Activity: WDC, ADBE, EGOV",neutral,high,,
FINBERT-086,GILD Named 'Top Dividend Stock of the Nasdaq 100' at Dividend Channel With 3.9% Yield,positive,high,,
FINBERT-087,Report: Walmart To Launch Membership Program To Take On Amazon Prime,positive,high,,
FINBERT-088,AMGN Dividend Yield Pushes Past 3%,positive,high,,
FINBERT-089,Good Stocks To Buy Now? 4 Enterprise Software Stocks In Focus,positive,high,,
FINBERT-090,"Financial Sector Update for 11/09/2023: AFRM, MARA, MS",neutral,high,,
FINBERT-091,Is Duke Energy (DUK) Outperforming Other Utilities Stocks This Year?,neutral,high,,
FINBERT-092,Morgan Stanley (MS) Stock Moves -0.36%: What You Should Know,negative,high,,
FINBERT-093,US STOCKS-Sliding bank shares drag Wall Street down in choppy trade,negative,high,,
FINBERT-094,UPS plans heavy holiday fees amid coronavirus-related shipment surge-WSJ,positive,medium,,
FINBERT-095,Why Mastercard and Visa Stocks Both Just Popped,positive,high,,
FINBERT-096,This Trio Proves You Can Still Find High-Yield Stocks,positive,high,,
FINBERT-097,Starbucks (SBUX) Rewards Investors With 8.2% Dividend Hike,positive,high,,
FINBERT-098,"After Hours Most Active for Sep 14, 2021 : ZNGA, INTC, AAPL, PCG, VIPS, GIS, JCS, UEPS, GOTU, BABA, MRK, CMCSA",neutral,high,,
FINBERT-099,Is iBio Stock Worth the Risk as Coronavirus Continues to Spread?,negative,high,,
FINBERT-100,"Notable Tuesday Option Activity: WHR, CZR, UPS",neutral,high,,
FINBERT-101,"AbbVie Confirms Outlook Of Over $15 Bln In Combined Risk-Adj. Sales For Rinvoq, Skyrizi In 2025",positive,high,,
FINBERT-102,7 Stocks to Buy if Covid-19 Becomes Endemic,positive,high,,
FINBERT-103,"Unusual Options Activity in Apple, Home Depot and 8 Other Stocks",neutral,high,,
FINBERT-104,"Dominion Energy, Inc (D) Q1 2021 Earnings Call Transcript",neutral,high,,
FINBERT-105,"Iovance (IOVA) Q1 Earnings Beat, Lifileucel BLA on Track",positive,high,,
FINBERT-106,T-Mobile (TMUS) Surpasses Q2 Earnings Estimates,positive,high,,
FINBERT-107,"Norway oil, gas firms raise investment forecasts",positive,high,,
FINBERT-108,"MSCI Q2 Earnings Beat, Recurring Subscriptions Rise Y/Y",positive,high,,
FINBERT-109,Gilead Sciences Option Alert: Jan 17 $65 Calls at the Ask: 1500 @ $1.311 vs 32458 OI; Earnings 2/3 After Close [est] Ref=$65.1002,neutral,high,,
FINBERT-110,Best Value Stocks To Buy For 2023? 3 To Watch,positive,high,,
FINBERT-111,AT&T Q4 20 Earnings Conference Call At 8:30 AM ET,neutral,high,,
FINBERT-112,Is Amgen a Stock to Buy?,neutral,high,,
FINBERT-113,"Quarterly Earnings Beats for Exxon, Clorox, AbbVie & More",positive,high,,
FINBERT-114,"QQQ, COST, CSCO, TMUS: ETF Outflow Alert",negative,high,,
FINBERT-115,"Dow Jones Rushes 230 Points To Record High Thanks To Disney, Apple",positive,high,,
FINBERT-116,Abbott (ABT) Rides on Nutrition Recovery Amid Low Testing Sales,neutral,high,,
FINBERT-117,Why Shares of Hyzon Motors Are Skyrocketing Today,positive,high,,
FINBERT-118,2 Stocks That Are Perfect to Buy Now and Hold Until Retirement,positive,high,,
FINBERT-119,Is Abbott Laboratories Still a Good Dividend Stock to Buy?,neutral,high,,
FINBERT-120,Morgan Stanley profit shrinks as deal slump lingers,negative,high,,
FINBERT-121,"Stock Charts To Watch - Thursday, April 2",neutral,high,,
FINBERT-122,EXCLUSIVE -Reckitt expects U.S. infant formula shortage until spring,positive,medium,,
FINBERT-123,Even Frodo Can't Save AMC Stock Now,negative,high,,
FINBERT-124,BlackRock Cuts Stake in Nike (NKE),negative,high,,
FINBERT-125,"Exxon, union meet for 2nd day to discuss Texas refinery lockout -official",negative,high,,
FINBERT-126,"S&P 500 Movers: WDC, V",neutral,high,,
FINBERT-127,Buy EA Stock as it Advances to a New Level,positive,high,,
FINBERT-128,New Apple Launch Event Set for Next Tuesday,positive,high,,
FINBERT-129,Here's Why NextEra Energy Is a No-Brainer Dividend Growth Stock,positive,high,,
FINBERT-130,October 13th Options Now Available For DuPont (DD),neutral,high,,
FINBERT-131,UnitedHealth Group beats quarterly profit estimates on lower medical costs,positive,high,,
FINBERT-132,Looking for Stocks with Positive Earnings Momentum? Check Out These 2 Finance Names,positive,high,,
FINBERT-133,"GDP, Fed Speakers and Other Can't Miss Items This Week",neutral,high,,
FINBERT-134,Britain's $1.3 bln semiconductor support plan gets cool response,negative,high,,
FINBERT-135,Implied RPV Analyst Target Price: $95,neutral,high,,
FINBERT-136,Davos 2023: India's ReNew Power exploring Egypt green hydrogen project,positive,high,,
FINBERT-137,Why Marvell Technology Stock Soared 29% Friday,positive,high,,
FINBERT-138,Less than 3% of U.S. small businesses could face tax hikes under Biden plan -White House,positive,high,,
FINBERT-139,AMD Pensando DPUs Help VMware Reduce Operational Costs,positive,high,,
FINBERT-140,"Unusual Put Option Trade in Walt Disney Co (DIS) Worth $34,807.50K",neutral,high,,
FINBERT-141,4 Potential Winners From Netflix's Advertising Plans,positive,high,,
FINBERT-142,September 10th Options Now Available For MMM,neutral,high,,
FINBERT-143,Earnings Preview: Electronic Arts (EA) Q2 Earnings Expected to Decline,negative,high,,
FINBERT-144,4 Energy Stocks That Can Survive the Oil Crash,positive,high,,
FINBERT-145,3 Best Buffett Stocks to Buy for the Long Haul,positive,high,,
FINBERT-146,Wall Street set for subdued open as virus cases rise,negative,high,,
FINBERT-147,"3 Stock-Split Stocks Set to Soar by as Much as 101% From Their 52-Week Lows, According to Wall Street",positive,high,,
FINBERT-148,"EXCLUSIVE-Ex-director seeks to stall $2 bln Paytm IPO, company calls it harassment",negative,high,,
FINBERT-149,IMAX Partners With NCG Cinemas for 3 Locations in the US,positive,high,,
FINBERT-150,"After Hours Most Active for Apr 28, 2021 : CNP, F, FB, GOLD, UNIT, AAPL, VICI, VCLT, ON, JWSM, QCOM, BP",neutral,high,,
